data,label
"{'id': '3E2E13', 'data': 'Bt bike nhi aata', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'JZUIOW', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",location
"{'id': 'ZM5418', 'data': ""But I don't have two wheeler"", 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'JWOJ5F', 'data': 'Yas', 'message_order': 5, 'comments': ['']}",location
"{'id': 'KEXKO5', 'data': 'Gm', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'P8AFFS', 'data': 'Hai', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': '9QA8Z7', 'data': 'Dear Sir or Mam', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': '1M84I1', 'data': 'Llr', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': 'NWF6AU', 'data': 'Hey mam', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': 'QZX0ZY', 'data': 'Hi', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'O98DOY', 'data': ""Sorry I didn't have original licence"", 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'V36PYJ', 'data': 'K', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': '9O8Z5D', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'ZVGHS2', 'data': 'I had already joined and left the job', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'VOAKOK', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'DGM3W7', 'data': 'Oky', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'X978V6', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",location
"{'id': 'PEAIDO', 'data': 'Telugu Ni aati', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'NB32KE', 'data': 'Get lost', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': '2EFXFI', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'DD7QWE', 'data': 'hi', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'V5CE5J', 'data': 'Near banashankari', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': '3IES44', 'data': 'I dnt have bike.\n Will u provide??', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': '38655E', 'data': 'Hiiii', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': 'F04F1O', 'data': 'Hi', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'I42747', 'data': 'Hi sir', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'I3QDTA', 'data': 'Tq', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'TDVKUY', 'data': 'Ohhh k😁😆😂🤣', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': '0MALHX', 'data': 'ok', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'FQFRWU', 'data': 'Hello', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'J39OQ6', 'data': 'Job location', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': '4UZKPJ', 'data': 'Kahapar hai job', 'message_order': 0, 'comments': ['']}",location
"{'id': 'FZZMAZ', 'data': 'No we', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'C8TYHC', 'data': 'Hello', 'message_order': 5, 'comments': ['']}",notInterested
"{'id': 'PPSYG2', 'data': 'Hi', 'message_order': 2, 'comments': ['']}",greeting
"{'id': '0UD8C3', 'data': 'Good morning', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': 'U2RCTA', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting
"{'id': '806PEJ', 'data': 'Hlw', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': '2EABDW', 'data': ""But i don't have a bike so have can i do this type of jobs"", 'message_order': 5, 'comments': ['']}",notInterested
"{'id': 'JXEJTR', 'data': 'Hai good morning', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': '5V63MW', 'data': 'LLR license', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'K1NVFN', 'data': 'K k', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': 'BIJ3QZ', 'data': 'Hi', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'HVUA2U', 'data': 'Hai', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'H8550Q', 'data': 'Ekada job', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'I5IU8C', 'data': 'Driving license nai hai but gaadi hai', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'LM5JV1', 'data': '📷 Gdmng', 'message_order': 1, 'comments': ['']}",dontMeetRequirements
"{'id': 'LB6GR9', 'data': 'Sry I dnt have a bike to do this job.. Thank you', 'message_order': 1, 'comments': ['']}",greeting
"{'id': '5JZFLX', 'data': 'Kkk', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'WQGK5I', 'data': 'sir bike nahi hai', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': '0HUJ05', 'data': 'Thank you', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'F5RHW6', 'data': 'What location', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': '8SD3A9', 'data': 'I have a leaning license', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'CEI40A', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting
"{'id': '0BC07U', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'AV7R7W', 'data': 'Bhai', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'FL10RD', 'data': 'Okau', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'GJYSVJ', 'data': 'Ok', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'G9PWMH', 'data': 'Helloooo', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'TDLURE', 'data': 'Good night', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': 'JCUEX6', 'data': 'Thanks', 'message_order': 4, 'comments': ['']}",dontMeetRequirements
"{'id': 'SMKE5U', 'data': 'I want to my nearest Jalahalli Cross address', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'Q2FG14', 'data': 'Good night', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': 'MV7OI3', 'data': 'Hi unnati thx for contacting me ..', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': 'ZIPT00', 'data': 'ok', 'message_order': 4, 'comments': ['']}",greeting
"{'id': '46N06K', 'data': 'Ok ok', 'message_order': 3, 'comments': ['']}",greeting
"{'id': 'XCRIJW', 'data': 'Where s the office', 'message_order': 3, 'comments': ['']}",location
"{'id': 'L014TW', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",greeting
"{'id': '5I79AF', 'data': 'I applied for license but not yet received', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'ZA2AR7', 'data': 'K', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'CIBIVS', 'data': 'how r u', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'IH326X', 'data': 'बाइक नहीं है', 'message_order': 0, 'comments': ['']}",notInterested
"{'id': '6B0G3F', 'data': '😅ok', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'Z6HKYO', 'data': 'Kk', 'message_order': 2, 'comments': ['']}",dontMeetRequirements
"{'id': 'KOQJ9L', 'data': 'you dont have swiggy offic in thane', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'WYZL8Y', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': '258WM9', 'data': 'Kahase vai', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'EVEZJ0', 'data': 'Where I have to come for interview', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'RINU9R', 'data': 'Hii', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'NAR2RT', 'data': 'Hlo vahna', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': '9X46W3', 'data': 'bike ledhu', 'message_order': 3, 'comments': ['']}",greeting
"{'id': '3Q3WEG', 'data': 'K', 'message_order': 5, 'comments': ['']}",whoAreYou
"{'id': 'MY1JHR', 'data': 'Suno bhai Meri age nahi hai 17th hya', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'DSF5CU', 'data': 'Okay', 'message_order': 3, 'comments': ['']}",dontMeetRequirements
"{'id': '00W0VD', 'data': 'In which location', 'message_order': 5, 'comments': ['']}",notInterested
"{'id': 'XVT3O3', 'data': 'Hello', 'message_order': 4, 'comments': ['']}",dontMeetRequirements
"{'id': 'AXXXEK', 'data': 'I have need job,but I am not apply fees', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': 'HRAJS5', 'data': 'No licence', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': '43V1WZ', 'data': 'Bhi na bike hai na licence hai', 'message_order': 4, 'comments': ['']}",greeting
"{'id': '147F8C', 'data': 'I not interests', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': '68ORM2', 'data': 'Sir..which area?', 'message_order': 4, 'comments': ['']}",notInterested
"{'id': '1DRD1G', 'data': 'No bike', 'message_order': 2, 'comments': ['']}",greeting
"{'id': 'XBTTJO', 'data': 'Ok', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'NQ9NJZ', 'data': 'Hii', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'Y3WMBB', 'data': 'Ok', 'message_order': 0, 'comments': ['']}",whoAreYou
"{'id': 'QYR8I7', 'data': 'Why I should deposit???', 'message_order': 0, 'comments': ['']}",location
"{'id': 'W06SBO', 'data': ""But doesn't have driving license"", 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'T9RLD4', 'data': 'Hii', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'JB39Z4', 'data': 'Ok', 'message_order': 5, 'comments': ['']}",greeting
"{'id': 'JZXY6K', 'data': 'Hello brother', 'message_order': 1, 'comments': ['']}",whoAreYou
"{'id': 'PE42AW', 'data': 'hiii', 'message_order': 1, 'comments': ['']}",location
"{'id': 'URQ329', 'data': 'K........tq so much sar or mam by', 'message_order': 2, 'comments': ['']}",location
"{'id': 'R6OMM4', 'data': 'Okn', 'message_order': 0, 'comments': ['']}",greeting
"{'id': 'EAIXAI', 'data': 'Hai', 'message_order': 4, 'comments': ['']}",whoAreYou
"{'id': 'GIJRWR', 'data': 'Hii sit', 'message_order': 5, 'comments': ['']}",greeting
"{'id': '8BTVQU', 'data': 'Hi', 'message_order': 1, 'comments': ['']}",dontMeetRequirements
"{'id': 'YJ5CM7', 'data': 'I dnt have bike but this job intrested', 'message_order': 2, 'comments': ['']}",whoAreYou
"{'id': 'LRRF38', 'data': 'Why should i tell you', 'message_order': 1, 'comments': ['']}",notInterested
"{'id': 'BVHB5L', 'data': 'i have learning license', 'message_order': 3, 'comments': ['']}",whoAreYou
"{'id': 'JBT0CQ', 'data': 'Sorry i m unable to pay 500 rupees', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'BNUW6I', 'data': 'Ok', 'message_order': 1, 'comments': ['']}",greeting
"{'id': 'CTPYLL', 'data': 'unexpectedly I applied for this job', 'message_order': 4, 'comments': ['']}",greeting
"{'id': 'K4C5K3', 'data': ""don't send any text msg"", 'message_order': 5, 'comments': ['']}",location
"{'id': 'AWI2P0', 'data': 'K', 'message_order': 2, 'comments': ['']}",notInterested
"{'id': 'ADNKEO', 'data': 'Hi', 'message_order': 0, 'comments': ['']}",dontMeetRequirements
"{'id': 'IMO9HZ', 'data': 'Near vijaynagar?', 'message_order': 3, 'comments': ['']}",notInterested
"{'id': '7PQIXJ', 'data': 'Ur location', 'message_order': 1, 'comments': ['']}",location
